0:13,-11,-2,-10,4,13,-9,-1,-12,-11,9
1:14,0,-10,-8,3,-2,-4,7,8,8,-10
2:-6,-10,-1,3,-7,-2,-6,11,0,6,6
3:8,-2,2,-9,11,-8,8,1,-6,10,14
4:-3,2,12,3,9,2,9,-11,-7,-8,-7
5:-1,1,14,-10,-4,-7,3,-10,-7,-1,-11
6:-6,10,6,0,11,-6,-8,-6,-6,-1,-2
7:-12,-2,10,-7,-11,2,6,-11,2,9,-8
8:6,-13,-7,6,4,-3,9,7,6,0,-12
9:10,4,-5,14,-4,-1,-10,9,-4,5,0
10:7,2,-4,10,-11,-8,-6,3,11,-1,-9
11:2,-6,-1,-11,-7,-3,12,3,-8,0,0
12:-10,-11,-5,0,3,-6,11,2,4,9,5
13:-10,5,8,7,5,-8,0,-8,-11,4,5
14:-3,-10,-1,-10,-9,-8,9,10,1,-10,0
15:5,0,-11,-3,-11,-6,4,6,11,10,12
16:12,-6,-7,-4,11,-11,6,1,10,-3,5
17:1,-2,-11,-3,-3,9,-4,-1,3,7,-3
18:5,-8,-5,-6,8,-3,-11,7,-9,0,9
19:-2,8,-10,8,1,3,0,11,7,8,5
20:-4,-5,-2,8,8,-2,1,0,-2,2,5
21:-2,-3,-2,2,8,1,3,3,-6,1,2
22:2,-3,-4,6,-3,-1,3,0,8,1,0
23:-2,-4,-1,-4,8,4,1,7,-7,-4,1
24:3,0,0,-3,2,-4,4,1,2,2,1
25:-1,1,5,-3,-1,7,5,3,6,-4,5
26:1,-6,-4,5,1,-7,5,8,-4,-5,3
27:-7,4,-5,0,-6,-7,3,4,5,3,-4
28:-3,-5,-4,0,7,5,8,7,4,2,5
29:4,-3,-2,0,2,-7,1,-2,-7,1,1
30:-16,11,-1,10,7,-7,3,-16,4,-7,13
31:-10,8,4,-4,-6,-11,-16,-10,1,0,15
32:3,-3,-4,-7,5,14,-17,8,3,6,-2
33:-10,13,16,-9,7,-3,-2,-4,-12,-8,-17
34:-16,13,1,-17,4,-16,13,-2,-9,2,4
35:-12,-1,3,-15,1,-17,13,-16,-10,-3,5
36:-3,2,-8,2,-1,-8,3,13,1,15,-8
37:-4,2,15,-1,-14,4,-6,-4,17,17,-10
38:8,4,16,-13,-10,-9,10,15,0,-7,15
39:-4,-7,-4,-3,17,5,2,-12,-5,7,-13
40:2,2,4,4,-1,-1,-3,-2,4,0,0
41:3,-3,-1,3,4,-2,1,4,2,4,1
42:0,0,1,-3,3,-2,-1,-1,-2,-2,4
43:0,-1,1,0,4,-1,1,3,2,-1,1
44:-3,-2,2,4,1,-2,0,-2,2,1,1
45:-3,1,1,1,-3,2,-3,4,-1,1,4
46:4,2,-3,0,-1,-3,0,-3,1,2,4
47:-1,-1,3,-2,0,0,2,4,0,1,2
48:-3,2,4,2,2,-2,3,-2,0,-1,4
49:1,-3,0,0,-2,-1,-2,-1,-1,0,0
50:-8,-1,11,-14,4,-4,-11,-1,10,-10,-11
51:7,-9,-3,7,-12,-7,7,0,-4,2,-2
52:11,-11,9,-12,10,-10,6,-2,-4,13,7
