0:-1,2,3,0,2,-4,1,-1,-1,0,-4
1:2,0,-1,-3,2,0,2,-2,-1,0,-1
2:-3,2,-1,0,0,0,2,0,2,0,-1
3:-2,-3,5,2,4,-1,3,4,-2,4,0
4:5,1,-1,-3,0,5,0,-2,5,-2,2
5:1,-2,0,-1,0,3,2,0,-1,5,3
6:2,2,-1,-2,0,-4,0,0,5,0,0
7:-2,-3,-1,-4,4,0,-1,-2,5,4,0
8:-3,0,-2,0,4,0,-2,0,-4,1,0
9:0,-2,4,-3,-2,-3,1,3,0,3,0
10:-4,-1,1,-2,-2,-4,3,2,-4,3,2
11:2,-1,-2,-1,-2,3,-3,0,-2,0,-2
12:4,-3,5,-1,3,-2,5,-2,-1,3,4
13:3,0,-4,-2,-1,3,4,0,0,-3,1
14:2,3,3,-4,2,-2,1,-3,2,4,-2
15:-2,-4,2,-3,-1,3,0,1,5,5,-4
16:-2,2,4,2,-4,5,2,4,0,3,-2
17:-4,-2,2,0,3,0,2,3,-1,3,4
18:-2,4,-2,1,2,0,-3,-1,1,1,0
19:-1,-1,5,-1,0,-2,5,-3,0,-4,2
20:1,2,1,-2,3,-4,1,-2,1,0,0
21:-1,-1,5,4,5,-2,1,-1,-2,2,-2
22:-1,3,0,-1,-2,-4,5,5,-1,-1,1
23:2,-1,1,-3,-4,-3,-4,-4,0,0,0
24:-4,1,5,0,-2,-3,-3,-1,1,5,-2
25:0,2,0,-2,-4,5,2,-3,-1,-4,-4
26:4,-4,-1,-4,-4,4,1,-1,0,3,-3
27:0,2,1,-1,-1,-2,4,4,4,-3,-2
28:-1,1,-1,-3,4,1,2,3,-4,0,-2
29:4,0,-3,-4,4,-1,3,3,0,-1,0
30:1,-4,-2,-1,-4,4,-1,1,-4,-1,5
31:-2,-4,1,-2,-1,2,0,-4,5,1,-4
32:-2,-2,1,-2,-4,4,1,-1,-1,5,2
33:-3,4,0,-2,4,-1,0,0,-4,-3,2
34:2,0,-4,-2,0,2,-4,-4,0,1,1
35:-3,4,4,-2,1,4,5,1,0,-4,0
36:0,4,2,-1,-1,-1,-4,-1,5,3,1
37:4,-4,-3,-3,-2,-2,-3,-4,-1,0,-1
38:5,-2,-1,-4,1,-4,4,-2,4,4,2
39:5,0,-2,4,-3,-1,-1,4,3,2,-1
40:-2,2,2,1,4,1,2,0,0,-3,-1
41:-2,2,0,0,0,2,2,5,2,-3,1
42:3,-1,-4,5,-2,-3,0,1,-4,-1,3
43:-4,-3,-4,3,1,-3,5,-4,1,2,4
44:0,2,0,-4,0,-4,3,0,-2,-2,4
45:-2,-3,3,-2,-3,-3,-1,0,0,4,0
46:0,0,-2,-4,5,-2,5,1,2,1,-1
47:-1,-1,0,-3,3,-4,-2,5,-3,4,4
48:0,-4,4,-4,5,-1,2,4,-1,0,4
49:-1,2,0,0,2,0,-1,-3,3,2,-1
50:-1,3,0,-3,5,0,-2,-2,2,-1,0
51:3,-4,-1,-4,-4,-3,0,2,5,-2,-2
52:-1,3,3,0,2,2,-4,1,1,4,2
