0:-5,5,-3,0,1,0,0,0,-2,6,5
1:1,-6,-1,0,-4,-1,-1,-2,0,4,-6
2:0,1,4,-4,0,-5,1,0,4,7,-6
3:2,0,-1,-1,5,-2,-3,0,-4,2,-6
4:-5,-2,-3,0,3,5,1,4,5,-3,7
5:-5,-6,1,-4,4,4,0,1,0,-1,4
6:-4,1,4,5,-6,1,6,-5,2,-2,-4
7:0,-1,-3,-4,-6,4,4,2,7,5,0
8:-4,-2,7,7,6,-5,4,1,-1,3,-6
9:1,-3,-3,-3,5,0,4,7,-1,2,0
10:0,-2,-1,2,-6,-1,-2,-5,7,2,5
11:-2,2,4,2,-2,-6,-2,-6,-2,2,-5
12:3,0,-5,-6,-2,1,5,4,0,2,7
13:-1,1,5,1,-6,1,-5,6,5,2,3
14:-5,-1,5,2,6,-5,4,1,0,6,-6
15:0,0,1,-3,1,-2,5,-5,-6,-5,5
16:0,-5,-3,-4,6,1,4,0,0,5,-6
17:-2,5,7,3,-1,0,0,5,-3,6,7
18:-4,5,6,0,2,6,0,-1,0,4,-3
19:3,1,3,-1,-5,0,-4,-4,-4,0,-1
20:-5,-3,1,-5,-5,-1,-2,-1,6,6,3
21:4,0,-3,2,7,-4,3,-3,-2,4,0
22:-3,-4,2,6,3,0,5,7,-1,0,2
23:7,-4,-5,2,0,-6,4,-1,-3,0,-1
24:1,-5,0,-1,-2,3,5,-4,-1,-4,1
25:-3,1,0,7,1,-1,-2,-6,2,5,4
26:1,2,1,-4,-2,2,-3,-1,5,5,7
