0:-4,0,-1,0,5,4,0,0,-4,-4,6
0:-3,1,0,-5,5,-2,5,-5,2,-2,6
0:0,1,0,-2,-3,-4,-1,6,6,1,-3
0:-4,6,6,-1,-2,2,4,-2,1,-3,-4
0:-3,0,-4,2,2,3,4,1,-1,3,4
0:-1,-2,-1,3,3,-4,0,0,3,4,0
0:0,3,-1,0,1,-5,-4,-4,-1,1,-5
0:3,0,-2,-3,5,-2,0,2,4,0,-5
0:-5,-5,0,5,-4,5,5,0,4,5,-2
0:-2,2,2,-5,4,3,0,-2,2,-1,-4
0:-2,3,0,-2,-5,-4,1,-1,2,-1,-1
0:-1,-1,6,-1,-1,3,3,0,4,1,-3
0:-2,3,-1,5,2,1,-2,6,2,-5,-3
0:-1,3,-5,6,0,4,6,3,0,-2,2
0:4,-2,-1,4,2,-4,5,5,-4,0,2
0:-4,0,-3,-1,4,3,3,3,-4,3,5
0:-2,0,-3,-1,3,3,4,4,3,0,-2
0:0,-3,-2,0,0,3,5,-1,-2,1,4
0:-2,-4,-1,0,3,6,6,2,-4,1,-3
0:-1,0,4,-4,2,3,1,-3,-4,6,6
0:-5,3,-1,6,-2,0,5,-3,6,-1,-4
0:2,2,4,-2,-1,-3,-3,0,0,-5,-5
0:4,1,-2,-1,3,-5,6,6,1,1,-4
0:-2,0,-3,-2,4,-2,4,-1,-1,2,0
0:-3,1,-3,2,3,-1,4,4,-2,-2,6
0:-3,1,-3,4,5,-5,-2,0,0,3,0
1:0,0,-7,6,2,-3,3,0,6,6,1
1:2,-7,-5,-7,-7,8,-1,1,7,8,8
1:-3,1,-5,1,7,7,2,7,3,0,-5
1:5,1,0,-3,3,-7,1,-7,5,-2,2
1:-7,2,-3,6,-5,3,4,7,3,5,-6
1:1,4,-3,-4,-5,5,-7,-6,1,0,3
1:-3,5,0,-4,0,0,-2,-1,0,6,-7
1:2,0,-1,-1,-3,1,0,1,6,1,-1
1:-4,1,-1,0,-2,-4,1,6,-1,-1,-2
1:3,-5,1,-7,3,-5,-1,-2,2,-3,0
1:-1,0,-1,2,0,4,1,-5,4,7,3
1:3,1,-4,-1,-2,-7,5,8,-5,-6,4
1:-6,-3,-1,-7,2,2,2,2,-1,0,7
1:-3,-1,-5,8,1,7,2,0,8,0,-2
1:-1,1,-6,3,0,4,-7,-4,-2,7,-4
1:-1,4,-5,0,2,0,-5,-4,1,-1,5
1:-6,4,-3,-5,0,-2,-6,6,0,-5,2
1:-7,1,-4,4,5,-4,-3,7,-2,4,2
2:7,-6,6,-8,6,-1,-1,-3,-5,-4,1
2:-6,7,-2,9,-4,5,1,5,-8,-3,0
2:-2,3,6,-7,7,-4,-3,-4,7,8,-4
2:-7,-4,-1,-3,4,1,6,5,4,-3,-7
2:3,0,0,-7,0,7,7,-3,-1,-8,3
3:0,2,1,-5,0,8,4,0,2,-5,7
3:2,3,0,-5,-5,-2,0,0,-4,-6,1
3:2,-2,4,-7,3,-2,4,0,-1,2,7
3:1,-1,6,-3,5,-3,-5,0,-5,3,1
3:-4,1,-6,0,6,0,0,5,-2,0,5
3:-1,-1,-7,0,-1,0,-7,-1,1,7,6
3:-3,5,-2,4,-6,3,0,-1,-4,4,-3
4:4,-1,-3,-1,4,4,4,-1,-2,4,3
4:2,-1,2,-1,4,-2,0,2,-2,1,0
4:-2,1,0,-1,-3,0,-2,-1,0,3,-2
4:-1,-3,-3,0,-1,4,3,-1,-1,0,-2
5:8,7,-4,-7,-5,1,0,-6,-7,-7,-3
5:6,-8,0,-13,12,8,-13,1,8,11,-3
5:-2,7,-6,-13,-3,-6,-4,4,-7,12,-12
5:-13,11,1,-10,10,-7,9,-5,-5,8,8
5:10,0,8,5,-12,-7,6,-10,0,-1,-2
5:-9,-4,-2,-7,-10,-7,10,8,13,14,9
5:-11,8,13,-8,12,-3,0,1,-6,-5,-10
5:6,9,4,-13,-10,-10,3,-2,-5,-11,7
6:-3,0,-4,2,-11,7,-2,9,4,1,2
6:-8,5,0,-9,4,-7,-12,-10,0,13,13
6:-13,1,-4,-9,-6,2,11,2,0,13,-1
6:2,4,3,-11,3,-9,-12,0,-13,0,-12
6:7,2,0,8,-7,-9,9,-6,0,1,11
6:-4,1,-7,-4,0,-3,8,4,-6,14,0
